Customer ID,Recency,Frequency,Monetary,Customer Age,Total_Returns,Churn
96,1,7,22981,25,2,0
97,233,3,6636,33,1,1
98,221,6,20950,55,0,1
99,659,4,11211,34,1,0
100,22,8,19950,20,5,0
101,121,8,27360,58,3,0
102,963,1,1259,18,1,0
103,88,7,24077,59,5,0
104,541,4,13848,31,4,0
105,214,4,7530,30,2,1
106,55,3,8311,24,0,0
107,300,4,8393,44,4,0
108,261,11,31386,53,1,0
109,107,5,18510,60,1,0
110,458,3,3558,42,1,0
111,321,5,9692,57,3,1
112,559,2,4378,67,0,0
113,331,4,7328,39,2,0
114,694,5,11568,27,3,0
115,198,7,13470,21,3,0
116,35,4,11725,55,0,0
117,28,6,22130,49,3,0
118,212,6,17754,65,1,0
119,434,6,18014,49,2,0
120,258,5,10470,29,1,0
121,498,5,13615,28,3,0
122,141,5,18104,18,3,0
123,26,3,12829,64,1,0
124,707,2,2308,44,2,0
125,36,6,17497,46,0,0
126,613,3,12680,40,3,0
127,951,1,3872,62,0,0
128,381,2,3931,67,2,0
129,192,6,14527,60,2,1
130,164,4,15849,37,1,0
131,542,4,6668,63,1,1
132,244,3,10091,22,1,0
133,6,8,25725,61,2,1
134,185,4,12344,69,1,0
135,252,6,13476,35,3,0
136,369,8,22890,25,2,0
137,494,8,24134,66,2,0
138,231,2,2907,19,2,0
139,66,7,15036,21,3,1
140,136,3,8230,55,1,0
141,328,9,26395,41,3,0
142,465,2,4184,43,2,0
143,178,8,22505,50,5,0
144,52,6,17553,40,2,0
145,142,10,26432,48,6,0
146,793,2,9457,23,1,1
147,146,7,14477,49,1,0
148,73,2,6506,24,0,0
149,201,6,17913,40,3,0
150,21,1,1743,68,0,0
151,66,8,10760,49,2,0
152,269,4,14097,47,2,1
153,399,7,18398,53,4,0
154,8,11,31167,56,6,0
155,28,6,17420,70,4,0
156,113,5,16715,60,1,0
157,43,8,23819,31,1,0
158,338,4,7295,70,1,0
159,82,3,4391,35,0,0
160,902,2,8840,41,1,0
161,67,5,18246,69,1,0
162,976,4,13299,55,0,0
163,643,4,9704,21,1,0
164,992,4,7890,69,1,0
165,169,6,14544,26,3,0
166,357,9,29342,28,3,0
167,468,4,8508,57,2,0
169,176,8,15868,21,5,0
170,43,8,24385,40,4,0
171,429,1,4206,61,0,1
172,451,6,10493,41,1,1
173,158,5,15597,66,2,1
174,39,2,3347,39,1,0
175,224,4,10189,31,2,0
176,16,7,13361,30,5,1
177,91,4,12377,27,3,0
178,149,9,21604,35,2,0
179,9,5,20456,29,1,0
180,60,1,473,55,1,1
181,237,3,7779,60,1,0
182,33,7,17243,51,5,0
183,262,3,5468,23,1,0
184,98,9,26985,43,5,0
185,168,9,24331,19,5,0
186,396,3,9097,32,1,1
187,543,1,2670,39,0,0
188,63,4,7701,32,0,1
189,616,2,6569,69,2,0
190,1076,1,4361,47,0,0
191,1143,2,4200,32,0,1
192,43,8,28832,70,4,1
193,82,5,12514,26,3,0
194,19,6,10066,63,1,0
195,168,6,18840,59,1,1
196,441,5,13926,18,3,0
197,181,4,10354,19,1,0
198,137,7,17553,55,3,0
199,308,6,14136,24,2,1
200,97,8,20775,56,2,1
201,13,2,3149,38,0,0
202,170,6,15209,49,2,0
203,436,3,6566,36,1,0
204,76,12,29420,56,6,0
205,146,11,23103,60,4,0
206,33,6,18103,25,4,0
207,213,8,21171,46,2,0
208,324,8,21596,38,2,1
209,5,7,17402,66,5,0
210,19,7,19595,37,2,0
211,131,10,20362,19,6,0
212,114,6,15762,50,2,0
213,301,6,10744,64,5,0
214,205,3,11660,42,2,0
215,378,4,11725,64,1,0
216,92,8,26535,47,0,0
217,118,5,8551,25,1,1
218,488,8,21620,45,3,0
219,17,6,13360,52,4,0
220,207,4,7400,68,1,1
221,258,6,21964,18,1,1
222,139,4,10799,31,2,0
223,27,4,10202,67,1,0
224,74,6,16799,65,2,1
225,2,3,7280,50,2,0
226,41,5,12910,56,3,0
227,311,4,9489,23,2,0
228,128,4,7175,60,0,0
229,329,6,18119,26,4,0
230,43,10,29553,31,8,0
231,277,6,15841,35,0,0
232,289,6,23483,47,3,0
233,383,5,15177,51,2,0
234,64,4,7910,48,0,0
235,376,4,14572,53,2,1
236,87,10,22060,27,4,0
237,393,7,17112,54,4,0
238,26,8,25783,52,3,0
239,239,7,20511,57,3,0
240,180,4,7011,29,1,0
241,206,3,3491,41,2,0
242,160,3,5090,57,3,1
243,92,7,19370,47,3,0
244,303,7,15342,51,2,0
245,654,3,7939,47,2,1
246,114,3,11308,57,1,0
247,626,5,8715,20,3,0
248,213,6,24306,51,2,0
249,1205,1,2240,62,0,0
250,96,7,22091,43,2,1
251,35,8,24661,68,5,0
252,650,5,10043,28,1,0
253,46,8,23104,23,6,0
254,401,4,12119,64,1,0
255,659,5,12999,61,2,0
256,136,3,7389,57,2,1
257,467,4,12211,49,1,1
258,69,6,17437,32,1,0
259,189,4,17652,70,2,0
260,86,6,12523,41,3,0
261,77,8,20949,49,1,1
262,139,8,22365,70,3,0
263,70,8,20142,38,2,1
264,189,10,33074,69,1,0
265,83,5,18780,53,4,0
266,38,7,10856,31,5,0
267,25,5,16595,64,2,1
268,405,3,5628,57,2,0
269,183,7,21577,57,1,0
270,4,6,17030,68,2,1
271,55,5,19721,54,2,1
272,540,3,8898,26,1,0
273,220,6,16602,68,2,0
274,472,6,17449,26,2,0
275,27,3,5288,70,0,0
276,283,5,9196,28,2,0
277,140,7,15709,28,2,0
278,5,10,31691,18,4,0
279,349,4,5772,34,2,0
280,372,5,6532,40,2,0
281,207,2,6795,61,0,0
282,107,8,26379,62,5,0
283,216,6,21425,38,2,0
284,257,3,7773,68,1,0
285,323,9,28106,35,1,0
286,450,2,7637,70,2,0
287,887,1,2295,40,0,1
288,80,5,16691,33,3,0
289,264,6,14827,29,1,1
290,350,4,10409,36,2,0
291,252,4,12458,32,2,0
292,317,4,5470,50,3,0
293,106,5,13042,51,2,0
294,186,3,10651,20,1,0
295,121,2,2904,50,1,0
296,567,6,16269,37,2,1
297,45,11,27103,57,4,0
298,76,5,10434,39,2,0
299,512,5,17284,44,4,0
300,129,6,11344,25,3,0
301,109,3,9117,35,2,1
302,45,7,19850,66,3,0
303,169,4,14014,26,1,1
304,141,7,16462,49,4,1
305,176,5,12211,34,2,1
306,435,4,11545,37,1,0
307,864,1,4972,30,1,1
308,13,3,9405,69,0,0
309,335,3,7314,68,0,1
310,18,3,13092,37,2,0
311,398,7,15544,37,2,0
312,542,3,6864,68,1,1
313,16,9,27974,40,3,0
314,74,4,9955,31,1,0
315,126,11,32676,26,4,0
316,175,3,2748,24,1,0
317,334,3,14315,31,2,0
318,104,9,25467,55,7,0
319,169,5,16758,29,0,0
320,95,5,12356,61,2,0
321,670,4,8310,52,0,1
322,299,5,16585,68,2,0
323,246,3,7726,63,1,0
324,1,5,13370,21,1,0
325,434,8,23078,64,4,0
326,170,5,13314,18,3,1
327,42,6,18548,52,3,0
328,392,6,9666,65,3,0
329,582,8,28031,25,5,0
330,383,9,26298,28,6,0
331,294,5,14475,26,1,0
332,21,6,16503,48,3,0
333,142,4,11409,18,0,0
334,81,5,9034,38,3,0
335,134,6,20173,58,3,1
336,879,2,5454,32,1,0
337,127,4,11645,32,0,0
338,75,4,8926,25,3,1
339,151,5,16131,19,1,0
340,28,10,33669,39,5,0
341,455,5,7945,65,3,0
342,106,10,28585,32,3,0
343,526,5,11403,65,1,1
344,503,7,17832,37,3,0
345,1,7,13967,33,1,0
346,77,5,14283,18,2,0
347,161,6,17563,65,0,1
348,185,9,25727,67,2,0
349,250,4,13096,30,3,1
350,377,5,16661,49,2,0
351,237,8,17230,26,5,0
352,336,3,6959,35,0,0
353,73,7,19498,33,4,1
354,221,4,16174,59,1,0
355,284,3,7767,41,1,0
356,471,4,11498,35,0,0
357,264,6,22995,36,1,0
358,31,4,13566,61,0,0
359,219,5,16589,29,1,0
360,28,5,10562,35,4,0
361,31,3,6893,28,2,1
362,1293,1,4964,20,0,0
363,64,5,14543,67,3,0
364,85,6,14827,57,2,0
365,535,3,7992,56,3,0
366,476,2,3288,51,0,1
367,95,3,8455,65,2,0
368,512,2,2052,69,0,0
369,88,4,12817,21,3,0
370,154,6,14914,28,3,0
371,437,5,10024,36,1,0
372,234,5,14200,39,2,0
373,1119,2,7553,31,0,0
374,5,7,25461,50,2,0
375,481,4,12176,67,0,0
376,129,7,24007,54,4,0
377,36,6,15264,19,2,0
378,741,3,10739,63,1,0
379,431,3,13401,60,1,0
380,50,4,12376,37,1,1
381,131,4,10658,63,3,0
382,81,3,6765,66,1,0
383,156,4,10593,44,1,0
384,88,6,14018,48,3,0
385,247,6,16038,36,3,1
386,74,5,11103,49,1,1
387,142,3,6514,34,3,0
388,104,4,15756,56,0,0
389,21,5,11814,36,1,0
390,169,3,13721,34,3,0
391,441,5,12602,46,1,1
392,198,4,10354,25,1,1
393,294,5,11362,26,2,0
394,616,5,13415,42,0,0
395,226,2,4099,69,1,0
396,836,5,23468,68,4,1
397,295,6,9519,24,4,0
398,68,6,17712,48,2,1
399,420,4,13606,39,1,1
400,24,8,26338,35,6,0
401,71,8,13078,36,4,1
402,38,9,24017,59,2,0
403,298,6,25165,70,1,1
404,92,7,16247,38,4,0
405,142,2,4577,35,1,1
406,386,8,16833,28,3,0
407,340,2,2780,57,1,0
408,456,4,17312,65,3,0
409,62,9,25320,19,4,0
410,790,1,403,21,0,0
411,223,8,20561,23,5,0
412,50,7,17208,44,0,0
413,49,3,8600,29,1,1
414,36,2,7889,21,1,0
415,896,2,1945,20,0,0
416,324,3,9715,48,1,0
417,52,4,8980,20,2,0
418,59,4,12685,30,2,1
419,84,5,10255,44,2,0
420,459,5,16320,45,1,0
421,76,6,15303,65,4,0
422,548,5,11972,69,3,0
423,670,3,10081,28,2,0
424,619,5,14366,21,2,0
425,62,5,12512,20,2,0
426,180,4,10239,45,1,0
427,137,5,14494,59,2,0
428,339,7,16117,27,1,0
429,19,4,5807,31,1,0
430,920,3,6081,54,1,0
431,1,5,14957,34,2,1
432,145,8,26191,67,3,0
433,596,2,1998,49,2,0
434,30,7,13228,36,3,0
435,18,7,16171,48,2,0
436,102,3,6221,50,2,0
437,657,3,8776,28,2,0
438,76,4,10803,27,2,0
439,316,3,4115,24,0,0
440,405,5,15615,37,1,0
441,217,5,9936,31,1,0
442,331,3,12032,67,0,1
443,410,5,17189,23,2,0
444,100,6,10788,44,3,0
445,514,5,9444,43,1,0
446,47,7,24805,54,5,0
447,536,2,3811,38,0,0
448,111,3,7644,39,2,0
449,94,5,10076,18,3,0
450,406,8,23219,60,3,0
451,90,6,13573,63,3,0
452,22,7,20587,63,5,0
453,391,4,10823,37,2,0
454,425,5,17685,37,1,1
455,116,4,15020,47,2,0
456,230,2,9083,19,0,0
457,132,5,16123,34,1,0
458,74,3,6910,40,2,1
459,412,4,15600,36,1,1
460,15,8,27338,19,4,0
461,23,3,12787,70,1,0
462,38,7,23295,48,2,0
463,377,4,12341,26,1,1
464,122,4,11431,38,2,1
465,959,3,9020,28,2,0
466,791,3,8184,64,2,1
467,7,5,20572,61,3,0
468,252,5,13542,39,1,0
469,615,6,19161,33,3,0
470,155,4,16199,45,0,0
471,87,7,18896,63,3,0
472,105,5,13059,38,4,0
473,364,6,8736,49,3,0
474,283,6,19227,46,4,0
475,175,2,5688,67,1,0
476,51,2,8451,19,1,0
477,191,2,7924,29,1,1
478,791,4,14545,42,3,0
479,617,3,6495,46,1,1
480,1,3,8069,54,2,0
481,243,5,14978,50,0,0
482,168,6,13719,68,1,0
483,301,8,17229,32,3,1
484,273,7,18909,63,3,0
485,243,8,28080,64,3,1
486,28,10,19650,21,4,1
487,863,2,2939,18,2,0
488,234,8,24331,41,2,0
489,371,8,12838,47,3,0
490,673,4,13731,57,1,0
491,431,4,9545,20,1,1
492,60,8,25356,25,3,0
493,206,8,16629,42,1,0
494,475,2,2492,35,1,0
495,154,4,9602,30,1,0
496,306,4,5841,23,1,0
497,118,9,23974,64,2,0
498,238,3,8942,52,2,0
499,47,8,19534,32,4,0
500,53,5,12219,33,2,0
501,511,3,8163,25,1,0
502,129,4,9516,19,0,0
503,55,7,20118,43,4,0
504,418,5,13779,30,3,0
505,43,10,22835,38,1,0
506,452,5,8562,56,2,0
507,778,5,15061,51,3,0
508,258,4,13208,63,1,0
509,621,3,6070,42,1,0
510,427,7,24241,70,4,0
511,189,5,11152,34,2,0
512,614,1,3132,30,0,0
513,3,5,16829,55,2,0
514,199,3,4187,57,3,0
515,309,3,9660,58,0,0
516,39,6,17779,35,3,1
517,145,4,6503,70,1,1
518,465,7,10743,41,3,0
519,338,4,11017,57,1,0
520,301,4,5842,23,0,0
521,176,5,10191,30,2,0
522,374,5,13158,64,2,0
523,829,5,16482,66,3,0
524,41,7,16168,43,5,0
525,162,5,12543,47,3,0
526,9,8,22053,42,2,0
527,170,6,18623,49,1,0
528,329,4,10830,46,1,1
529,243,5,14466,28,1,0
530,50,9,24520,38,2,1
531,364,3,10680,35,2,0
532,864,5,17553,62,2,0
533,17,8,22594,19,1,1
534,44,8,21665,34,4,1
535,168,3,10956,52,1,0
536,595,6,20509,46,5,1
537,277,2,3755,61,1,0
538,339,7,11298,42,2,1
539,106,13,46390,68,3,0
540,298,5,14149,51,4,0
541,114,3,4166,65,3,0
542,162,6,17431,36,2,0
543,22,4,7620,58,2,0
544,295,3,9522,46,1,0
545,242,5,14128,48,3,0
546,123,5,13422,55,1,0
547,64,6,17435,19,2,0
548,90,8,29989,65,4,0
549,336,4,15527,60,1,1
550,773,3,6211,35,1,0
551,70,6,13985,38,4,0
552,107,1,4500,25,0,1
553,1146,3,7656,37,0,0
554,119,4,14303,35,2,0
555,114,10,33993,37,6,0
556,993,2,4583,66,0,0
557,36,5,16712,60,1,0
558,38,3,10039,47,0,0
559,267,5,7972,46,2,0
560,137,4,9581,38,2,0
561,390,7,19931,29,3,1
562,541,2,5520,57,1,0
563,25,7,13867,28,2,0
564,634,2,7230,30,2,1
565,144,7,10573,58,2,0
566,170,4,11924,63,2,0
567,86,6,15700,40,4,0
568,207,6,20210,54,1,0
569,42,4,13105,23,3,1
570,299,4,8792,19,3,0
571,541,1,1432,30,0,0
572,128,8,15942,53,3,0
573,292,8,24458,31,4,0
574,332,5,16821,64,3,0
575,186,6,17550,64,3,0
576,155,3,8962,52,1,0
577,67,6,16413,63,0,1
578,308,5,16873,56,0,0
579,85,10,32023,69,3,0
580,510,8,25102,64,4,0
581,358,4,11882,63,1,0
582,381,5,14676,51,0,0
583,118,4,9991,56,4,0
585,319,3,8786,49,2,0
586,333,5,16816,45,1,0
587,594,6,19135,63,2,0
588,114,3,3679,47,2,0
589,51,7,24219,69,3,0
590,428,4,11354,38,2,0
591,60,3,8254,64,0,0
592,720,4,3659,20,1,0
593,270,4,9354,69,2,0
594,196,10,28316,28,6,0
595,42,5,14700,52,2,0
596,374,3,9196,19,1,1
597,121,3,10390,65,0,0
598,268,9,28069,55,5,0
599,263,5,11040,66,4,0
600,578,5,11578,48,3,0
601,495,5,16488,31,3,1
602,638,5,14412,45,1,0
603,33,4,5606,21,2,0
604,470,2,6626,43,1,0
605,93,3,8599,59,1,0
606,26,5,14211,28,2,0
607,424,5,14653,29,0,0
608,166,5,15883,36,1,0
609,22,7,16586,49,4,1
610,1282,1,5102,60,1,0
611,221,2,7763,60,1,0
612,1022,2,5980,57,1,1
614,790,4,8100,42,2,0
615,87,8,17974,44,5,1
616,422,4,13949,21,2,0
617,837,2,6735,64,1,1
618,222,9,23062,29,4,0
619,609,4,13440,41,2,0
620,207,2,5373,63,0,1
621,35,3,7307,26,1,0
622,189,2,9305,53,1,0
623,36,3,8674,23,1,0
624,425,3,10873,69,1,0
625,50,9,26445,45,5,0
626,570,2,4772,68,1,0
627,156,4,13431,43,3,0
628,358,4,10562,60,2,1
629,638,2,2350,31,0,0
630,38,10,29948,57,3,0
631,298,5,14142,30,4,0
632,48,5,18397,30,2,0
633,59,6,10764,55,3,0
634,82,9,21618,29,2,0
635,111,5,11466,60,3,0
636,417,3,12144,62,1,0
637,17,6,14961,43,4,0
638,71,3,10118,44,1,0
639,302,2,3796,67,1,0
640,35,9,25145,22,5,0
641,34,6,15956,46,3,1
642,70,4,10072,56,1,0
643,4,4,9148,39,1,0
644,120,8,21758,31,4,0
645,16,6,13953,45,3,1
646,518,3,8708,69,1,0
647,1199,1,666,35,1,0
648,2,5,7955,46,1,0
649,309,5,7572,56,3,0
650,98,7,14298,33,3,1
651,69,10,19678,19,2,1
652,127,5,8663,62,2,1
653,222,2,5088,22,1,0
654,639,3,4878,45,1,1
655,274,8,22047,48,8,0
656,1005,6,8959,36,4,1
658,110,3,9150,60,0,0
659,442,5,12330,43,2,0
660,398,6,16901,49,0,1
661,600,3,8857,18,2,1
662,89,4,7105,39,1,1
663,107,10,27752,33,5,1
664,572,6,16770,18,1,0
665,247,5,15452,26,1,0
666,211,4,15183,59,0,1
667,127,3,3840,40,0,0
668,247,10,17767,45,4,0
669,127,9,27056,24,5,0
670,185,3,9493,49,0,0
671,264,7,21590,66,3,0
672,236,4,9472,43,1,0
673,61,1,755,46,0,0
674,50,7,20644,55,1,0
675,153,3,9873,54,1,1
676,578,5,13475,52,3,0
677,63,6,19405,63,4,0
678,71,8,20818,44,5,0
679,337,5,19004,68,4,1
680,207,3,5784,18,1,0
681,697,2,7582,58,0,0
682,106,7,18485,70,5,0
683,26,6,19152,59,3,0
684,489,6,14074,31,3,1
685,7,3,3701,31,1,0
686,839,2,7822,55,1,1
687,50,2,8395,40,0,1
688,56,1,2075,24,0,1
689,15,4,12463,49,2,0
690,317,3,12773,42,1,0
691,267,3,7219,49,2,0
692,98,5,16707,57,1,0
693,422,3,2678,18,0,0
694,770,4,10571,48,2,0
695,313,4,14347,50,2,0
696,1035,1,797,36,1,0
697,356,6,19096,23,3,0
698,474,6,12673,23,2,0
699,295,7,15301,27,4,0
700,998,3,11085,55,1,0
701,29,2,6339,63,0,0
702,186,5,16995,27,2,0
703,1235,2,6359,48,0,1
704,189,4,15097,51,1,0
705,177,7,14241,22,4,0
706,433,4,8218,62,1,0
707,423,5,19611,39,3,0
708,287,6,14792,53,2,0
709,444,5,11335,32,2,0
710,103,7,20976,62,3,0
711,125,7,14232,55,5,0
712,114,6,20667,35,1,0
713,905,3,5349,46,0,0
714,121,7,19127,70,2,0
715,126,6,15745,42,4,1
716,1229,1,3919,67,0,0
717,203,4,12541,61,3,0
718,691,3,8973,21,3,1
719,120,5,12055,40,3,1
720,228,6,19166,46,3,0
721,668,3,6741,37,1,0
722,170,8,22479,20,2,0
723,523,8,20785,41,4,0
724,332,3,3411,23,1,0
725,507,4,8367,22,2,0
726,199,4,11790,45,2,0
727,322,3,10470,40,1,1
728,159,4,8378,44,2,1
729,110,5,9351,27,1,0
730,65,12,30587,37,6,1
731,357,3,11453,43,1,0
732,106,7,25122,34,2,0
733,361,5,8516,24,1,0
734,290,7,14355,26,0,0
735,48,5,11920,51,1,1
736,177,5,14728,20,3,1
737,207,5,8717,30,2,0
738,230,3,3231,30,0,0
739,622,5,10327,22,4,0
740,66,9,22729,39,1,0
741,15,3,4816,41,1,0
742,9,5,16904,44,2,0
743,387,10,31135,30,4,0
744,105,4,13251,62,4,0
745,644,3,6311,68,1,1
746,13,5,14686,45,2,1
747,68,5,17784,54,2,0
748,392,5,11562,61,1,0
749,38,7,19108,18,3,1
750,203,2,1430,44,1,0
751,425,4,13401,58,1,1
752,83,5,16813,29,1,1
753,693,4,10911,46,1,0
754,26,5,11564,70,4,0
755,136,4,9980,65,4,0
756,305,4,9744,53,2,0
757,663,2,6245,55,1,0
758,432,4,13941,66,3,1
759,1295,1,4606,49,0,0
760,177,2,6255,67,0,0
761,63,9,25486,57,3,0
762,285,8,15136,61,5,0
763,511,4,14824,29,2,0
764,35,6,15023,24,2,0
765,40,4,15941,27,1,0
766,50,9,18084,46,5,0
767,438,6,19659,66,5,0
768,247,7,19093,47,2,0
769,867,4,6926,30,3,0
770,53,6,23148,58,3,0
771,463,4,11461,27,1,0
772,23,4,8370,25,1,1
773,156,4,14077,64,3,0
774,157,7,17867,43,4,0
775,538,3,6056,46,2,0
776,318,6,14734,23,2,0
777,330,5,13422,24,1,0
778,446,3,7649,52,1,0
779,150,3,4305,29,2,0
780,236,1,824,22,0,0
781,53,7,20679,41,5,0
782,152,3,8034,68,0,0
783,249,4,10563,70,2,0
784,389,4,6602,69,1,0
785,207,5,8623,39,2,0
786,198,4,8269,38,0,0
787,477,1,4602,36,0,0
788,202,5,14855,34,4,0
789,372,2,3167,46,0,0
790,22,5,10760,23,3,0
791,102,7,22858,54,3,0
792,242,3,8068,45,2,0
793,483,3,6414,34,1,0
794,312,7,19827,63,1,0
795,770,4,12227,62,4,0
797,513,1,220,21,0,0
798,4,5,16152,40,4,0
799,121,6,24039,32,1,0
800,149,10,23458,25,5,1
801,581,3,6888,62,0,0
802,991,4,10892,62,2,0
803,100,7,22704,18,5,0
804,854,3,10176,36,1,0
805,170,7,16909,20,4,0
806,269,4,12000,48,1,0
807,24,7,21627,19,2,0
808,463,3,5617,56,1,0
809,27,5,14823,59,3,0
810,97,8,19661,69,2,1
811,88,4,10832,45,1,0
812,421,6,14573,32,1,0
813,113,2,5634,43,2,0
814,290,5,14913,37,3,0
815,281,2,7898,68,0,0
816,187,4,4578,45,1,0
817,855,5,13551,38,4,0
818,1,7,20475,65,2,0
819,36,5,15655,65,4,0
820,45,8,25363,58,6,0
821,489,6,14570,64,2,1
822,33,5,12874,25,3,0
823,42,4,14322,34,1,0
824,581,3,5160,52,0,0
825,205,6,15042,55,3,0
826,130,3,10464,52,2,0
827,37,9,26106,46,4,1
828,51,3,8760,67,1,0
829,137,4,11523,46,3,0
830,56,3,13238,57,0,0
831,106,4,11403,41,2,0
833,76,5,15507,52,1,1
834,292,3,5942,35,2,0
835,227,5,16762,59,1,0
836,252,8,22445,60,3,0
837,157,2,4893,25,1,1
838,60,5,8222,48,1,0
839,366,8,22452,34,4,1
840,597,7,18564,31,5,0
841,88,4,12070,20,1,0
842,8,13,43977,25,4,0
843,124,4,14861,48,2,1
844,320,3,6702,59,2,0
845,76,5,17917,43,3,0
846,822,3,10650,52,0,0
847,361,8,23557,31,4,0
848,283,8,15680,38,2,0
849,12,2,8636,42,1,1
850,97,7,20948,60,3,0
851,282,5,11393,45,2,0
852,48,8,21593,40,3,0
853,527,6,15308,60,2,0
854,403,4,14681,37,0,0
855,218,4,9116,53,1,0
856,509,7,21008,59,4,0
857,57,8,23400,31,2,1
858,279,5,8831,39,2,0
859,153,3,8029,31,1,0
860,274,4,10283,20,2,0
861,153,5,14327,38,2,0
862,226,4,6770,62,1,0
863,30,5,14443,66,2,1
864,106,6,20705,31,3,0
865,146,7,18384,69,2,1
866,266,3,9184,24,2,0
867,870,2,3638,31,1,0
868,259,4,7140,53,0,0
869,240,3,11233,67,1,0
870,214,3,3268,44,1,0
871,188,9,18929,19,4,1
872,508,8,21693,48,4,0
873,100,8,32250,53,4,0
874,169,1,1911,28,1,0
875,455,8,22107,54,5,0
876,475,4,8202,25,2,1
877,372,4,7897,27,2,0
878,623,2,5883,69,1,0
879,158,4,12676,51,3,1
880,260,10,33394,53,2,0
881,219,6,17891,35,1,1
882,122,4,6431,60,2,0
883,168,8,23173,35,4,0
884,461,2,4738,49,1,0
885,510,1,212,24,0,0
886,65,6,20093,34,4,0
887,690,3,7814,49,1,1
888,177,6,19624,46,3,0
889,372,6,19347,45,2,0
890,432,5,13796,30,2,1
891,41,4,15139,56,2,0
892,47,10,33440,70,4,0
893,490,6,23539,53,3,0
894,238,7,17317,55,1,1
895,466,1,2876,28,0,0
896,562,3,11136,40,2,1
897,448,5,10489,55,2,0
898,438,1,1893,18,1,0
899,157,4,12889,32,2,0
900,129,5,13353,33,0,0
901,290,4,5228,39,3,0
902,566,4,13037,26,0,0
903,239,6,12120,63,3,0
904,487,2,4716,50,0,0
905,88,4,9288,46,3,0
906,377,7,20725,27,2,0
907,171,5,14006,33,2,0
908,270,9,26876,65,6,0
909,349,4,8926,20,3,0
910,249,6,18459,20,2,0
912,33,5,15634,51,3,0
913,207,5,11743,35,4,0
914,72,4,17823,63,1,0
915,84,8,16988,20,3,0
916,634,3,11737,33,1,0
917,232,6,11133,57,4,0
918,18,5,10801,53,3,0
919,101,6,15653,68,3,0
920,405,7,25006,60,2,0
921,127,8,17687,54,3,0
922,63,7,17470,34,5,1
923,663,5,15405,28,2,0
924,204,6,19204,39,3,0
925,699,2,5774,68,0,0
926,930,2,3789,22,0,0
927,2,7,15731,46,4,0
928,317,5,10406,23,3,0
929,65,5,11943,19,1,0
930,6,5,12673,35,3,0
931,151,7,22370,36,3,0
932,102,5,11296,24,3,0
933,303,6,19245,21,4,0
934,282,8,16530,64,1,0
935,197,7,28406,35,2,0
